호선,역명,역코드,상하행,방면,탑승구,근접이동시설,승강기_일련번호,탑승구_층,방면_탑승구,승강장유형
1,서울역,133,하행,남영,2-3,에스컬레이터,1806-600,B2,"남영 방면2-3, 시청 방면9-2",섬식
1,서울역,133,상행,시청,9-3,에스컬레이터,1806-599,B2,"시청 방면9-3, 남영 방면2-2",섬식
1,서울역,133,하행,남영,4-4,엘리베이터,0074-205,B2,"시청 방면5-1, 남영 방면4-4",섬식
1,서울역,133,하행,남영,10-4,계단,,,,섬식
1,서울역,133,하행,남영,1-1,계단,,,,섬식
1,서울역,133,하행,남영,8-1,계단,,,,섬식
1,서울역,133,하행,남영,4-2,계단,,,,섬식
1,서울역,133,상행,시청,9-2,에스컬레이터,1806-600,B2,"남영 방면2-3, 시청 방면9-2",섬식
1,서울역,133,하행,남영,2-2,에스컬레이터,1806-599,B2,"시청 방면9-3, 남영 방면2-2",섬식
1,서울역,133,상행,시청,1-1,계단,,,,섬식
1,서울역,133,상행,시청,10-4,계단,,,,섬식
1,서울역,133,상행,시청,3-4,계단,,,,섬식
1,서울역,133,상행,시청,7-3,계단,,,,섬식
1,서울역,133,상행,시청,5-1,엘리베이터,0074-205,B2,"시청 방면5-1, 남영 방면4-4",섬식
1,시청,132,상행,종각,2-2,계단,,,,상대식
1,시청,132,상행,종각,4-1,계단,,,,상대식
1,시청,132,상행,종각,4-1,계단,,,,상대식
1,시청,132,상행,종각,6-1,계단,,,,상대식
1,시청,132,상행,종각,7-4,계단,,,,상대식
1,시청,132,하행,서울역,5-4,계단,,,,상대식
1,시청,132,하행,서울역,7-4,계단,,,,상대식
1,시청,132,하행,서울역,9-3,계단,,,,상대식
1,시청,132,상행,종각,3-2,엘리베이터,0002-888,B2,종각 방면3-2,상대식
1,시청,132,하행,서울역,8-3,엘리베이터,0002-887,B2,서울역 방면8-3,상대식
1,종각,131,상행,종로3가,1-4,계단,,,,상대식
1,종각,131,상행,종로3가,10-1,계단,,,,상대식
1,종각,131,상행,종로3가,6-1,계단,,,,상대식
1,종각,131,상행,종로3가,7-4,계단,,,,상대식
1,종각,131,하행,시청,1-4,계단,,,,상대식
1,종각,131,하행,시청,10-1,계단,,,,상대식
1,종각,131,하행,시청,4-1,계단,,,,상대식
1,종각,131,하행,시청,5-4,계단,,,,상대식
1,종각,131,상행,종로3가,6-4,엘리베이터,0000-506,B2,종로3가 방면6-4,상대식
1,종각,131,하행,시청,4-4,엘리베이터,0000-507,B2,시청 방면4-4,상대식
1,종로3가,130,상행,종로5가,5-1,엘리베이터,0000-512,B2,종로5가 방면5-1,상대식
1,종로3가,130,하행,종각,6-4,엘리베이터,0000-513,B2,종각 방면6-4,상대식
1,종로3가,130,상행,종로5가,2-2,계단,,,,상대식
1,종로3가,130,상행,종로5가,4-2,계단,,,,상대식
1,종로3가,130,상행,종로5가,7-3,계단,,,,상대식
1,종로3가,130,상행,종로5가,9-3,계단,,,,상대식
1,종로3가,130,하행,종각,2-2,계단,,,,상대식
1,종로3가,130,하행,종각,4-2,계단,,,,상대식
1,종로3가,130,하행,종각,7-3,계단,,,,상대식
1,종로3가,130,하행,종각,9-3,계단,,,,상대식
1,종로5가,129,상행,동대문,2-3,계단,,,,상대식
1,종로5가,129,상행,동대문,4-3,계단,,,,상대식
1,종로5가,129,상행,동대문,7-3,계단,,,,상대식
1,종로5가,129,상행,동대문,9-4,계단,,,,상대식
1,종로5가,129,하행,종로3가,2-2,계단,,,,상대식
1,종로5가,129,하행,종로3가,4-2,계단,,,,상대식
1,종로5가,129,하행,종로3가,7-2,계단,,,,상대식
1,종로5가,129,하행,종로3가,9-2,계단,,,,상대식
1,종로5가,129,상행,동대문,8-3,엘리베이터,0000-533,B2,동대문(1) 방면8-3,상대식
1,종로5가,129,하행,종로3가,3-2,엘리베이터,0000-534,B2,종로3가 방면3-2,상대식
1,동대문,128,상행,동묘앞,10-4,엘리베이터,0000-906,B2,동묘앞 방면10-4,상대식
1,동대문,128,하행,종로5가,2-1,엘리베이터,0000-907,B2,종로5가 방면2-1,상대식
1,동대문,128,상행,동묘앞,9-3,계단,,,,상대식
1,동대문,128,하행,종로5가,1-3,계단,,,,상대식
1,신설동,126,상행,제기동,9-4,계단,,,,상대식
1,신설동,126,하행,동묘앞,2-1,계단,,,,상대식
1,신설동,126,상행,제기동,3-4,엘리베이터,0083-762,B2,제기동 방면3-4,상대식
1,신설동,126,하행,동묘앞,8-1,엘리베이터,0083-764,B2,동묘앞 방면8-1,상대식
1,제기동,125,상행,청량리,4-4,계단,,,,상대식
1,제기동,125,상행,청량리,8-4,계단,,,,상대식
1,제기동,125,하행,신설동,3-1,계단,,,,상대식
1,제기동,125,하행,신설동,6-4,계단,,,,상대식
1,제기동,125,상행,청량리,9-4,엘리베이터,0043-600,B2,청량리 방면9-4,상대식
1,제기동,125,하행,신설동,2-1,엘리베이터,0027-701,B2,신설동 방면2-1,상대식
1,청량리,124,하행,제기동,10-4,계단,,,,섬식
1,청량리,124,하행,제기동,1-1,계단,,,,섬식
1,청량리,124,하행,제기동,7-4,계단,,,,섬식
1,청량리,124,하행,제기동,5-4,계단,,,,섬식
1,청량리,124,상행,회기,1-1,계단,,,,섬식
1,청량리,124,상행,회기,10-4,계단,,,,섬식
1,청량리,124,상행,회기,4-1,계단,,,,섬식
1,청량리,124,상행,회기,6-1,계단,,,,섬식
1,동묘앞,127,상행,신설동,6-2,엘리베이터,0000-946,B1,신설동 방면6-2,상대식
1,동묘앞,127,하행,동대문,1-2,엘리베이터,0000-944,B1,동대문(1) 방면1-2,상대식
1,동묘앞,127,상행,신설동,4-3,엘리베이터,0000-947,B1,신설동 방면4-3,상대식
1,동묘앞,127,상행,신설동,10-3,엘리베이터,0000-943,B1,신설동 방면10-3,상대식
1,동묘앞,127,상행,신설동,9-1,에스컬레이터,1800-055,B1,신설동 방면9-1,상대식
1,동묘앞,127,상행,신설동,9-1,에스컬레이터,1800-056,B1,신설동 방면9-1,상대식
1,동묘앞,127,상행,신설동,6-2,에스컬레이터,1800-057,B1,신설동 방면6-2,상대식
1,동묘앞,127,하행,동대문,5-4,에스컬레이터,1800-060,B1,동대문 방면5-4,상대식
1,동묘앞,127,하행,동대문,2-4,에스컬레이터,1800-061,B1,동대문 방면2-4,상대식
1,동묘앞,127,하행,동대문,2-4,에스컬레이터,1800-062,B1,동대문 방면2-4,상대식
1,동묘앞,127,하행,동대문,7-3,엘리베이터,0000-948,B1,동대문(1) 방면7-3,상대식
1,동묘앞,127,하행,동대문,5-3,계단,,,,상대식
2,시청,201,하행,을지로입구,5-3,엘리베이터,0042-520,B3,"충정로 방면6-2, 을지로입구 방면5-3",섬식
2,시청,201,하행,을지로입구,9-3,계단,,,,섬식
2,시청,201,하행,을지로입구,8-4,계단,,,,섬식
2,시청,201,하행,을지로입구,7-4,계단,,,,섬식
2,시청,201,하행,을지로입구,5-1,계단,,,,섬식
2,시청,201,하행,을지로입구,2-2,계단,,,,섬식
2,시청,201,상행,충정로,6-2,엘리베이터,0042-520,B3,"충정로 방면6-2, 을지로입구 방면5-3",섬식
2,시청,201,상행,충정로,2-2,계단,,,,섬식
2,시청,201,상행,충정로,3-1,계단,,,,섬식
