역명,호선,플랫폼층_int,플랫폼층
가락시장,3호선,-4,B4
가락시장,8호선,-2,B2
가산디지털단지,7호선,-4,B4
강남,2호선,-2,B2
강남구청,7호선,-3,B3
강동,5호선,-4,B4
강동구청,8호선,-3,B3
강변,2호선,2,2F
강일,5호선,-3,B3
개롱,5호선,-2,B2
개화산,5호선,-2,B2
거여,5호선,-3,B3
건대입구,2호선,3,3F
건대입구,7호선,-3,B3
경복궁,3호선,-3,B3
경찰병원,3호선,-3,B3
고덕,5호선,-2,B2
고려대,6호선,-4,B4
고속터미널,3호선,-3,B3
고속터미널,7호선,-3,B3
공덕,5호선,-3,B3
공덕,6호선,-3,B3
공릉,7호선,-4,B4
광나루,5호선,-3,B3
광명사거리,7호선,-3,B3
광화문,5호선,-4,B4
광흥창,6호선,-3,B3
교대,2호선,-2,B2
교대,3호선,-3,B3
구로디지털단지,2호선,3,3F
구산,6호선,-4,B4
구의,2호선,3,3F
구파발,3호선,-2,B2
군자,5호선,-3,B3
군자,7호선,-3,B3
굽은다리,5호선,-2,B2
금호,3호선,-2,B2
길동,5호선,-3,B3
길음,4호선,-2,B2
김포공항,5호선,-3,B3
까치산,5호선,-5,B5
낙성대,2호선,-2,B2
남구로,7호선,-5,B5
남부터미널,3호선,-3,B3
남성,7호선,-3,B3
남위례,8호선,3,3F
남태령,4호선,-3,B3
남한산성입구,8호선,-3,B3
내방,7호선,-3,B3
노원,4호선,3,3F
노원,7호선,-3,B3
녹번,3호선,-2,B2
녹사평,6호선,-5,B5
논현,7호선,-3,B3
단대오거리,8호선,-3,B3
답십리,5호선,-3,B3
당산,2호선,3,3F
대림,2호선,3,3F
대림,7호선,-2,B2
대청,3호선,-3,B3
대치,3호선,-4,B4
대흥,6호선,-3,B3
도곡,3호선,-4,B4
도림천,2호선,-3,B3
도봉산,7호선,2,2F
독립문,3호선,-3,B3
독바위,6호선,-6,B6
돌곶이,6호선,-2,B2
동대문,1호선,-2,B2
동대문,4호선,-4,B4
동대문역사문화공원,2호선,-2,B2
동대문역사문화공원,4호선,-3,B3
동대문역사문화공원,5호선,-5,B5
동대입구,3호선,-3,B3
동묘앞,1호선,-2,B2
동묘앞,6호선,-3,B3
동작,4호선,3,3F
둔촌동,5호선,-2,B2
디지털미디어시티,6호선,-2,B2
뚝섬,2호선,3,3F
마곡,5호선,-2,B2
마들,7호선,-3,B3
마장,5호선,-3,B3
마천,5호선,-4,B4
마포,5호선,-5,B5
마포구청,6호선,-3,B3
망원,6호선,-2,B2
매봉,3호선,-2,B2
먹골,7호선,-3,B3
면목,7호선,-4,B4
명동,4호선,-4,B4
명일,5호선,-2,B2
모란,8호선,-3,B3
목동,5호선,-2,B2
몽촌토성,8호선,-3,B3
무악재,3호선,-3,B3
문래,2호선,-2,B2
문정,8호선,-2,B2
미사,5호선,-2,B2
미아,4호선,-2,B2
미아사거리,4호선,-2,B2
반포,7호선,-3,B3
발산,5호선,-2,B2
방배,2호선,-2,B2
방이,5호선,-2,B2
방화,5호선,-2,B2
버티고개,6호선,-4,B4
보라매,7호선,-2,B2
보문,6호선,-3,B3
복정,8호선,-2,B2
봉천,2호선,-2,B2
봉화산,6호선,-2,B2
불광,3호선,-2,B2
불광,6호선,-5,B5
불암산,4호선,3,3F
사가정,7호선,-4,B4
사당,2호선,-2,B2
사당,4호선,-3,B3
산성,8호선,-4,B4
삼각지,4호선,-2,B2
삼각지,6호선,-4,B4
삼성,2호선,-2,B2
상계,4호선,3,3F
상도,7호선,-3,B3
상봉,7호선,-3,B3
상수,6호선,-3,B3
상왕십리,2호선,-2,B2
상월곡,6호선,-3,B3
상일동,5호선,-2,B2
새절,6호선,-2,B2
서대문,5호선,-4,B4
서울,1호선,-2,B2
서울,4호선,-2,B2
서울대입구,2호선,-2,B2
서초,2호선,-2,B2
석계,6호선,-3,B3
석촌,8호선,-2,B2
선릉,2호선,-2,B2
성수,2호선,3,3F
성신여대입구,4호선,-2,B2
송정,5호선,-3,B3
송파,8호선,-2,B2
수락산,7호선,-3,B3
수서,3호선,-2,B2
수유,4호선,-2,B2
수진,8호선,-2,B2
숙대입구,4호선,-2,B2
숭실대입구,7호선,-6,B6
시청,1호선,-2,B2
시청,2호선,-3,B3
신금호,5호선,-8,B8
신길,5호선,-4,B4
신내,6호선,-1,B1
신답,2호선,1,1F
신당,2호선,-2,B2
신당,6호선,-3,B3
신대방,2호선,3,3F
신대방삼거리,7호선,-3,B3
신도림,2호선,-2,B2
신림,2호선,-2,B2
신사,3호선,-2,B2
신설동,1호선,-2,B2
신설동,2호선,-2,B2
신용산,4호선,-2,B2
신정,5호선,-3,B3
신정네거리,2호선,-3,B3
신촌,2호선,-2,B2
신풍,7호선,-2,B2
신흥,8호선,-2,B2
쌍문,4호선,-2,B2
아차산,5호선,-3,B3
아현,2호선,-2,B2
안국,3호선,-3,B3
안암,6호선,-3,B3
암사,8호선,-2,B2
암사역사공원,8호선,-2,B2
압구정,3호선,-2,B2
애오개,5호선,-4,B4
약수,3호선,-2,B2
약수,6호선,-3,B3
양재,3호선,-2,B2
양천구청,2호선,-2,B2
양평,5호선,-5,B5
어린이대공원,7호선,-3,B3
여의나루,5호선,-5,B5
여의도,5호선,-4,B4
역삼,2호선,-3,B3
역촌,6호선,-4,B4
연신내,3호선,-2,B2
연신내,6호선,-5,B5
영등포구청,2호선,-2,B2
영등포구청,5호선,-5,B5
