역명,방면_탑승구,탑승구_층,inbound,outbound,판정
가락시장,경찰병원 방면2-1,-4.0,False,True,나가기만 가능
가락시장,경찰병원 방면3-2,-4.0,True,True,양방향 가능
가락시장,경찰병원 방면5-2,-4.0,True,True,양방향 가능
가락시장,경찰병원 방면7-1,-4.0,True,True,양방향 가능
가락시장,수서 방면10-1,-4.0,False,True,나가기만 가능
가락시장,수서 방면4-4,-4.0,True,True,양방향 가능
가락시장,수서 방면6-3,-4.0,True,True,양방향 가능
가락시장,수서 방면8-3,-4.0,True,True,양방향 가능
가락시장,환승통로(문정 방면1-1),-2.0,False,True,나가기만 가능
가락시장,환승통로(송파 방면6-4),-2.0,True,True,양방향 가능
강동,둔촌동 방면1-1,-4.0,True,True,양방향 가능
강동,천호 방면8-4,-4.0,True,True,양방향 가능
강일,미사 방면2-3,-3.0,True,True,양방향 가능
강일,미사 방면7-2,-3.0,True,True,양방향 가능
강일,상일동 방면2-3,-3.0,True,True,양방향 가능
강일,상일동 방면7-2,-3.0,True,True,양방향 가능
건대입구,어린이대공원 방면6-4,-2.0,False,True,나가기만 가능
건대입구,환승통로(자양 방면1-1),-2.0,True,True,양방향 가능
경복궁,"독립문 방면2-4, 안국 방면9-1",-3.0,True,True,양방향 가능
경복궁,"안국 방면3-2, 독립문 방면8-3",-3.0,True,True,양방향 가능
경복궁,"안국 방면9-1, 독립문 방면2-4",-3.0,False,False,에스컬레이터 없음
경찰병원,가락시장 방면2-1,-3.0,True,True,양방향 가능
경찰병원,가락시장 방면6-2,-3.0,True,True,양방향 가능
경찰병원,가락시장 방면7-4,-3.0,True,True,양방향 가능
경찰병원,오금 방면4-1,-3.0,True,True,양방향 가능
경찰병원,오금 방면5-3,-3.0,True,True,양방향 가능
경찰병원,오금 방면9-4,-3.0,True,True,양방향 가능
고려대,안암 방면3-4,-4.0,True,True,양방향 가능
고려대,월곡 방면6-1,-4.0,True,True,양방향 가능
고속터미널,교대 방면2-3,-3.0,True,True,양방향 가능
고속터미널,교대 방면4-3,-3.0,True,True,양방향 가능
고속터미널,교대 방면7-2,-3.0,True,True,양방향 가능
고속터미널,교대 방면9-2,-3.0,True,True,양방향 가능
고속터미널,내방 방면2-4,-3.0,False,True,나가기만 가능
고속터미널,내방 방면5-1,-3.0,False,True,나가기만 가능
고속터미널,내방 방면7-1,-3.0,True,True,양방향 가능
고속터미널,반포 방면2-4,-3.0,True,True,양방향 가능
고속터미널,반포 방면4-4,-3.0,False,True,나가기만 가능
고속터미널,반포 방면7-1,-3.0,False,True,나가기만 가능
고속터미널,잠원 방면2-3,-3.0,True,True,양방향 가능
고속터미널,잠원 방면4-3,-3.0,True,True,양방향 가능
고속터미널,잠원 방면7-2,-3.0,True,True,양방향 가능
고속터미널,잠원 방면9-2,-3.0,True,True,양방향 가능
공덕,"마포 방면1-1, 애오개 방면8-4",-3.0,True,True,양방향 가능
공덕,환승통로(대흥 방면1-1),-2.0,True,True,양방향 가능
공덕,"환승통로(애오개 방면8-4, 마포 방면1-1)",-3.0,True,True,양방향 가능
공덕,환승통로(효창공원앞 방면8-4),-2.0,True,True,양방향 가능
공릉,태릉입구 방면2-2,-4.0,True,False,들어오기만 가능
공릉,하계 방면7-3,-4.0,False,True,나가기만 가능
광화문,"서대문 방면1-1, 종로3가 방면8-4",-4.0,True,True,양방향 가능
광흥창,"상수 방면1-1, 대흥 방면8-4",-3.0,False,True,나가기만 가능
광흥창,"상수 방면8-4, 대흥 방면1-1",-3.0,False,True,나가기만 가능
교대,"고속터미널 방면3-2, 남부터미널 방면8-3",-3.0,True,True,양방향 가능
구산,응암 방면5-4,-4.0,True,True,양방향 가능
김포공항,개화산 방면3-4,-3.0,True,True,양방향 가능
김포공항,개화산 방면5-4,-3.0,True,True,양방향 가능
김포공항,송정 방면3-4,-3.0,True,True,양방향 가능
김포공항,송정 방면5-4,-3.0,True,True,양방향 가능
까치산,신정 방면2-2,-5.0,True,True,양방향 가능
까치산,신정 방면7-2,-5.0,True,True,양방향 가능
까치산,화곡 방면2-3,-5.0,True,True,양방향 가능
까치산,화곡 방면7-3,-5.0,True,True,양방향 가능
남태령,"사당 방면8-3, 선바위 방면3-2",-3.0,False,True,나가기만 가능
남태령,"선바위 방면3-2, 사당 방면8-3",-3.0,True,False,들어오기만 가능
노원,"마들 방면1-1, 중계 방면8-4",-3.0,True,True,양방향 가능
녹사평,"삼각지 방면3-3, 이태원 방면6-2",-5.0,True,True,양방향 가능
녹사평,"삼각지 방면5-4, 이태원 방면4-1",-5.0,True,True,양방향 가능
대림,남구로 방면1-1,-2.0,True,True,양방향 가능
대림,신풍 방면8-4,-2.0,True,True,양방향 가능
대치,"도곡 방면1-1, 학여울 방면10-4",-4.0,True,True,양방향 가능
대치,"도곡 방면10-4, 학여울 방면1-1",-4.0,True,True,양방향 가능
도곡,대치 방면4-1,-4.0,True,True,양방향 가능
도곡,대치 방면7-4,-4.0,True,True,양방향 가능
도곡,매봉 방면4-1,-4.0,True,True,양방향 가능
도곡,매봉 방면7-4,-4.0,True,True,양방향 가능
독립문,"무악재 방면4-4, 경복궁 방면7-1",-3.0,False,True,나가기만 가능
독립문,"무악재 방면7-4, 경복궁 방면4-1",-3.0,False,True,나가기만 가능
독바위,연신내 방면3-2,-6.0,True,True,양방향 가능
동대문,"동대문역사문화공원 방면3-3, 혜화 방면8-2",-4.0,True,False,들어오기만 가능
동대문,"동대문역사문화공원 방면7-4, 혜화 방면4-1",-4.0,True,False,들어오기만 가능
동대문,"혜화 방면4-1, 동대문역사문화공원 방면7-4",-4.0,False,True,나가기만 가능
동대문,"혜화 방면8-2, 동대문역사문화공원 방면3-3",-4.0,False,True,나가기만 가능
동대문역사문화공원,"동대문 방면3-1, 충무로 방면8-4",-3.0,False,True,나가기만 가능
동대문역사문화공원,"동대문 방면6-3, 충무로 방면5-2",-3.0,False,True,나가기만 가능
동대문역사문화공원,"동대문 방면9-1, 충무로 방면2-4",-3.0,False,True,나가기만 가능
동대문역사문화공원,"충무로 방면2-4, 동대문 방면9-1",-3.0,True,False,들어오기만 가능
동대문역사문화공원,"충무로 방면5-2, 동대문 방면6-3",-3.0,True,False,들어오기만 가능
동대문역사문화공원,"충무로 방면8-3, 동대문 방면3-2",-3.0,True,False,들어오기만 가능
동묘앞,동대문 방면2-4,-1.0,True,True,양방향 가능
동묘앞,동대문 방면5-4,-1.0,True,True,양방향 가능
동묘앞,"신당 방면2-3, 창신 방면7-2",-3.0,True,True,양방향 가능
동묘앞,"신당 방면7-3, 창신 방면2-2",-3.0,True,True,양방향 가능
동묘앞,신설동 방면6-2,-1.0,True,True,양방향 가능
동묘앞,신설동 방면9-1,-1.0,True,True,양방향 가능
디지털미디어시티,월드컵경기장 방면1-1,-2.0,False,True,나가기만 가능
디지털미디어시티,월드컵경기장 방면8-4,-2.0,False,True,나가기만 가능
디지털미디어시티,증산 방면1-1,-2.0,False,True,나가기만 가능
마천,거여 방면3-1,-3.0,False,False,에스컬레이터 없음
마천,마천 방면6-4,-3.0,False,False,에스컬레이터 없음
명동,"충무로 방면10-4, 회현 방면1-1",-4.0,False,False,에스컬레이터 없음
명동,"회현 방면1-1, 충무로 방면10-4",-4.0,False,False,에스컬레이터 없음
명동,"회현 방면10-4, 충무로 방면1-1",-4.0,False,False,에스컬레이터 없음
미사,강일 방면3-4,-2.0,True,False,들어오기만 가능
미사,강일 방면6-1,-2.0,True,True,양방향 가능
미사,하남풍산 방면3-4,-2.0,True,True,양방향 가능
미사,하남풍산 방면6-1,-2.0,False,True,나가기만 가능
복정,"장지 방면5-2, 남위례 방면2-2",-2.0,False,True,나가기만 가능
봉천,"서울대입구 방면5-3, 신림 방면6-2",-2.0,True,False,들어오기만 가능
봉천,"서울대입구 방면6-2, 신림 방면5-3",-2.0,False,True,나가기만 가능
봉화산,신내 방면1-1,-2.0,True,False,들어오기만 가능
봉화산,화랑대 방면8-4,-2.0,False,True,나가기만 가능
불광,독바위 방면2-2,-4.0,True,True,양방향 가능
불광,독바위 방면7-2,-4.0,True,True,양방향 가능
사당,낙성대 방면3-3,-2.0,True,True,양방향 가능
사당,낙성대 방면8-1,-2.0,True,True,양방향 가능
사당,"남태령 방면1-1, 총신대입구 방면10-4",-3.0,True,False,들어오기만 가능
사당,방배 방면3-3,-2.0,True,True,양방향 가능
사당,방배 방면8-1,-2.0,True,True,양방향 가능
산성,남위례 방면6-2,-3.0,True,True,양방향 가능
산성,남한산성입구 방면1-3,-3.0,True,True,양방향 가능
상수,"합정 방면3-3, 광흥창 방면6-1",-3.0,True,True,양방향 가능
새절,응암 방면3-3,-2.0,True,True,양방향 가능
새절,증산 방면3-4,-2.0,True,True,양방향 가능
서울대입구,"봉천 방면2-4, 낙성대 방면8-4",-2.0,False,True,나가기만 가능
서울대입구,"봉천 방면6-2, 낙성대 방면5-3",-2.0,True,True,양방향 가능
서울대입구,"봉천 방면8-4, 낙성대 방면2-4",-2.0,False,True,나가기만 가능
서울역,"남영 방면2-3, 시청 방면9-2",-2.0,True,False,들어오기만 가능
서울역,"숙대입구 방면10-4, 회현 방면1-1",-2.0,True,False,들어오기만 가능
서울역,"시청 방면9-3, 남영 방면2-2",-2.0,False,True,나가기만 가능
서울역,"회현 방면1-1, 숙대입구 방면10-4",-2.0,False,True,나가기만 가능
석계,돌곶이 방면1-1,-3.0,False,True,나가기만 가능
석계,돌곶이 방면6-3,-3.0,False,True,나가기만 가능
석계,태릉입구 방면3-2,-3.0,False,True,나가기만 가능
석계,태릉입구 방면8-4,-3.0,False,True,나가기만 가능
수락산,도봉산 방면1-1,-3.0,True,False,들어오기만 가능
수서,가락시장 방면2-2,-2.0,True,True,양방향 가능
수서,일원 방면9-3,-2.0,True,True,양방향 가능
